text,label
how do i update my address,13
why have i not yet received my virtual card,18
can i reactivate a card,7
i got a card how do i get it in the app,7
can you express my card to me,6
what do i have to do to get my pin unblocked,22
do you receive swift transfers,24
are eur exchanges allowed,17
i requested money from the atm and it didnt give me as much as i requested,29
there is something wrong with my card tried to use it a few times today in different places and it just didnt work the transactions i tried to make were really small so not sure whats going on,8
i checked my statement and am being charged one pound where did this charge come from,16
please help me there is a transaction in the incorrect account,3
an incorrect exchange rate was applied to an item i bought,11
when traveling is it possible for it to add money at specific time intervals,1
where can i link a new card,7
does auto topup have a limit,1
how much will i be charged for making a transfer,24
how do i change my account details,13
the cash i got at the atm is still in my account,20
id rather not use my physical card how can i get a virtual card,18
i need immediate assistance in canceling a transfer which was a mistake please help me quickly so this does not go through,3
i need to add a serious amount of cash to my card how do i do that,25
i do not understand why there is a pending 1 charge on my statement i do not recall making this transaction can you please tell me what this is about,16
how long is delivery to the us,6
instead of gbp how do i exchange for aud,15
where do i order a virtual card,18
you did not give me the correct exchange rate for an item that i bought,11
i just checked my account on the app and there is a payment on there that i did not make,10
how much are the rates of exchange,14
i received 20 but i entered 100,29
do you support changing the currency i use,15
i deposited a cheque a week ago but have yet to receive the cash,2
i bought something in another country but the exchange rate is wrong,11
i attempted to withdraw some money from an atm this morning and received the wrong amount your app says i have enough money available in the account can someone tell me whats wrong,29
what factors determine your exchange rate,14
what happened to my topup i think it was cancelled,26
why was there a fee for paying by card,9
i have yet to receive the cash i added to my account this morning,2
how come there is an extra fee on my statement,16
what is delivery speed to the united states,6
what is this fee debit on my account,16
im confused ass to why my contactless is not working,12
how long is the wait for my card,6
i may need to exchange my usd for gbp can your app do that,15
do you have a fee for receiving a sepa transfer,24
whats the maximum amount i can top up my card with please,25
where am i able to get my pin unblocked,22
why did my top up get pulled back out,26
my account says there are pending funds right now from withdrawing from an atm but my card was declined and i never took out any money when will that money be deposited back into my account,20
hi something is going on with the app  i see some payments i didnt make,10
how do i link a new card to an existing one,7
can i start an account for my kids,0
my statement is showing i was charged a dollar and i am not sure why,16
why was the wrong rate applied when i bought something in a different currency,11
can i use my american express card to add money into my account,23
my pin isnt working,22
can you provide information for freezing my card immediately,19
waiting for the cash i deposited this morning still,2
why did i get less from the atm,29
i bought an item that i was charged a different exchange rate for,11
is it possible for me to track the card is was mailed to me,5
i cannot use my pin,22
how old do you have to be to open an account,0
why have i been charged a fee for using my card,9
can you unblock my account  i entered the pin wrong,22
